Date,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Week 01,0.318217279,0.445067384,0.620004355,0.554357603,0.545669088,0.542425936,0.547081154,0.548565762,0.649775705,0.560904861,0.508233657,0.473238988,0.47666417
Week 02,0.359958303,0.496181181,0.602142174,0.610673505,0.698581377,0.614929848,0.648683439,0.632990386,0.532111678,0.464937429,0.547840984,0.625459389,0.558633111
Week 03,0.322431351,0.386936276,0.458055699,0.533473529,0.54405332,0.477061492,0.412127586,0.418968322,0.427131616,0.363036285,0.386058934,0.361019207,0.48046504
Week 04,0.350307932,0.417655421,0.515400894,0.480402994,0.577461029,0.485041501,0.517072238,0.46113531,0.475697442,0.492328424,0.480942008,0.392230827,0.399073731
Week 05,0.33773509,0.45785626,0.535939476,0.478559631,0.491204856,0.541809965,0.481642295,0.586785451,0.51317842,0.563531586,0.430890148,0.473915916,0.485258678
Week 06,0.28691545,0.450878694,0.530358929,0.515055052,0.530544617,0.593845202,0.50821276,0.510120029,0.485830099,0.507329761,0.46322415,0.500288039,0.524337543
Week 07,0.274042354,0.473841847,0.527825152,0.491867538,0.498400622,0.617386046,0.480563725,0.59444086,0.520072746,0.46465982,0.368326609,0.367199122,0.37845019
Week 08,0.309881596,0.460406108,0.500668892,0.473153416,0.537553277,0.511513023,0.536813318,0.507589928,0.489263198,0.467985631,0.416991891,0.34646476,0.358847786
Week 09,0.286587311,0.458752534,0.598494489,0.730880423,0.633114738,0.387710053,0.554424329,0.506674458,0.432357528,0.454613254,0.365699381,0.411458036,0.379359063
Week 10,0.248306971,0.316268966,0.421793182,0.482655395,0.487716856,0.512809237,0.487476269,0.473631059,0.458929759,0.431353423,0.440867872,0.51063564,0.403743683
Week 11,0.267868382,0.292389406,0.395275233,0.435929689,0.431406461,0.449803233,0.481179218,0.521317708,0.43155922,0.378031287,0.438404861,0.360685826,0.442619771
Week 12,0.306309629,0.401885291,0.476223883,0.489026602,0.481394538,0.424065272,0.43476958,0.399888546,0.421548011,0.43588102,0.468332273,0.388517051,0.445380683
Week 13,0.274563016,0.361608765,0.457518244,0.504758986,0.4515406,0.469390068,0.437349964,0.44146711,0.457498525,0.420301378,0.405351273,0.398020703,0.337206946
