Date,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Week 01,100.00%,26.96%,15.21%,11.40%,9.34%,7.77%,6.94%,6.13%,5.72%,5.15%,4.71%,4.34%,3.97%
Week 02,100.00%,27.54%,15.66%,11.84%,9.46%,8.29%,7.24%,6.68%,5.95%,5.40%,4.95%,4.47%,4.14%
Week 03,100.00%,27.90%,16.00%,11.82%,9.87%,8.45%,7.65%,6.70%,6.04%,5.47%,4.90%,4.49%,4.23%
Week 04,100.00%,27.74%,15.66%,12.07%,9.96%,8.73%,7.53%,6.70%,6.01%,5.35%,4.88%,4.55%,4.04%
Week 05,100.00%,27.40%,15.91%,12.17%,10.20%,8.65%,7.56%,6.70%,5.94%,5.39%,4.97%,4.43%,4.18%
Week 06,100.00%,27.58%,16.11%,12.42%,10.12%,8.68%,7.57%,6.59%,5.95%,5.46%,4.83%,4.48%,4.16%
Week 07,100.00%,28.49%,16.76%,12.76%,10.53%,8.98%,7.72%,6.84%,6.24%,5.49%,5.09%,4.67%,4.26%
Week 08,100.00%,28.53%,16.73%,12.86%,10.56%,8.88%,7.73%,6.91%,6.03%,5.53%,5.05%,4.56%,4.11%
Week 09,100.00%,28.59%,16.79%,12.72%,10.28%,8.76%,7.71%,6.65%,6.04%,5.46%,4.90%,4.40%,4.06%
Week 10,100.00%,28.57%,16.73%,12.56%,10.34%,8.87%,7.54%,6.75%,6.04%,5.38%,4.82%,4.42%,4.16%
Week 11,100.00%,28.82%,16.74%,12.80%,10.58%,8.84%,7.77%,6.87%,6.05%,5.37%,4.88%,4.57%,4.41%
Week 12,100.00%,28.22%,16.78%,12.94%,10.45%,8.95%,7.78%,6.73%,5.92%,5.38%,5.00%,4.79%,4.35%
Week 13,100.00%,28.14%,16.74%,12.65%,10.46%,8.84%,7.55%,6.56%,5.89%,5.43%,5.20%,4.70%,4.36%
